OBJECTID,NAVN,TEMA_NAVN,TEMA_TEKST,GlobalID,Url,Kort_Beskrivelse,Lang_Beskrivelse,Prioritet,ShapeSTArea,ShapeSTLength
1,Bork Strandskov,Friluftsliv,Kommunale skove,{773BCB81-A25D-4F21-A6D9-E9E4EEBC5398},https://youtu.be/OBLxkQDBu_I,,,,121319.540564265,4120.63964555469
2,Borris Faster Kommuneplantage,Friluftsliv,Kommunale skove,{E4A69E2B-2FBC-41A3-AECD-78C9453B5297},https://youtu.be/OBLxkQDBu_I,,,,202876.344348,2235.03735791822
3,Bølling Kommuneplantage,Friluftsliv,Kommunale skove,{5FAD83FD-91C7-45CA-8BF8-3C81E7F098BC},https://youtu.be/OBLxkQDBu_I,,,,149167.30459835,2521.31056513442
4,Ejstrup Søerne,Friluftsliv,Kommunale skove,{28E2CD60-F2B4-467B-B53B-5AA1092E35A5},https://youtu.be/OBLxkQDBu_I,,,,286260.942941,2203.57570259381
5,Faster Kommuneplantage,Friluftsliv,Kommunale skove,{690D9198-3AEA-4E50-9C2D-C5788A863A75},https://youtu.be/OBLxkQDBu_I,,,,580126.553832,5424.50196672237
6,Finderup Kommuneplantage,Friluftsliv,Kommunale skove,{34D1F3D7-DD1C-4BC8-A990-E4514DCC9F00},https://youtu.be/OBLxkQDBu_I,,,,201790.409424,1914.22100801737
7,Kastanielunden,Friluftsliv,Kommunale skove,{6C15B708-7B1B-495F-A44B-51BF0560114D},https://youtu.be/OBLxkQDBu_I,,,,27212.691058,1066.59889517336
8,Kongelunden,Friluftsliv,Kommunale skove,{087CD409-F17D-4364-A20C-A35DDA1D392D},https://youtu.be/OBLxkQDBu_I,,,,27542.3345265,960.230760771139
9,Lyager Plantage,Friluftsliv,Kommunale skove,{1008105A-85CB-4C47-B05A-9815C3E226D0},https://youtu.be/OBLxkQDBu_I,,,,179832.07812,1958.14016865584
10,Lønborg Kirkeskov,Friluftsliv,Kommunale skove,{53F2504F-B60E-4A20-B88A-70C8874A0041},https://youtu.be/OBLxkQDBu_I,,,,18533.85526031,962.709070903408
11,Momhøje Plantage,Friluftsliv,Kommunale skove,{8EECE5FF-7084-4EF2-BD13-7B6B67F30C8E},https://youtu.be/OBLxkQDBu_I,,,,809904.5986285,4125.65645326764
12,Sandbæk Plantage,Friluftsliv,Kommunale skove,{D0A4FE7B-D6E3-45A3-A0FD-B3953E82584E},https://youtu.be/OBLxkQDBu_I,,,,1450547.37076,7225.74462541961
13,Schuberts Plantage,Friluftsliv,Kommunale skove,{D15ABBED-10F9-4A0B-ADA8-DB18445E6781},https://youtu.be/OBLxkQDBu_I,,,,56950.5268665,1064.30427732888
14,Sidenius  Plantage,Friluftsliv,Kommunale skove,{6E69E6BC-F457-45D9-AD61-5269FB4C9BD3},https://youtu.be/OBLxkQDBu_I,,,,197253.4007365,1828.3770013936
15,Skjern Birk Plantage,Friluftsliv,Kommunale skove,{471DDEC7-5D88-4FC6-AF39-32FB0273D059},https://youtu.be/OBLxkQDBu_I,,,,477155.80005246,2886.37530605644
16,Skov Kærbyvej,Friluftsliv,Kommunale skove,{690A38A2-01D6-4207-951B-D56D2C3AA447},https://youtu.be/OBLxkQDBu_I,,,,34529.41738413,972.345752591748
17,Snogdal Plantage,Friluftsliv,Kommunale skove,{9FBC7C4C-CDF9-4DE3-8E5E-F4209216C367},https://youtu.be/OBLxkQDBu_I,,,,649732.506764,5189.37151877509
18,Stauning Kommuneplantage,Friluftsliv,Kommunale skove,{544F4CFA-6553-4C95-8FE1-7BC588B401B0},https://youtu.be/OBLxkQDBu_I,,,,396201.503282,3992.32614628124
19,Stauning Østerby Plantage,Friluftsliv,Kommunale skove,{A6A7C074-60FF-49AB-AF4A-931CDA5CF13F},https://youtu.be/OBLxkQDBu_I,,,,93506.9630535,1880.09638445362
20,Sønder Vium Skoleskov,Friluftsliv,Kommunale skove,{E05C94A6-F727-4896-8A43-BCB40A60E71C},https://youtu.be/OBLxkQDBu_I,,,,28251.652469,970.240014019639
21,Tarm Kommune plantage,Friluftsliv,Kommunale skove,{CED96B1C-415F-4B79-8066-51E6EB0A892C},https://youtu.be/OBLxkQDBu_I,,,,777746.8453195,5435.69679979889
22,Tarm Kommuneplantage,Friluftsliv,Kommunale skove,{3E770C35-719C-40D6-8478-AD9011CFAC2A},https://youtu.be/OBLxkQDBu_I,,,,308645.0945305,5352.03248915196
25,Kirkeskoven,Friluftsliv,Kommunale skove,{5868BCAA-F0AA-44BF-A6E3-69587F4A8689},https://youtu.be/OBLxkQDBu_I,,,,96784.37402,1800.90525561078
427,Skov Ndr. Ringvej,Friluftsliv,Kommunale skove,{96E14761-E216-4C67-88A5-8797DCDE268B},https://youtu.be/OBLxkQDBu_I,,,,36757.12325,828.328278253591
825,Ganer Skov,Friluftsliv,Kommunale skove,{C6359DCF-3952-463E-BF62-23A63F9D75BA},https://youtu.be/OBLxkQDBu_I,,,,30094.08509369,853.136323001658
829,Oldager Skov,Friluftsliv,Kommunale skove,{A4E3D20B-81E7-43E3-B74F-59081FBC3F3E},https://youtu.be/OBLxkQDBu_I,,,,38176.788299905,1021.08971356286
831,Oldager Skov,Friluftsliv,Kommunale skove,{8A054678-14F2-4FD5-8AC9-5D131419288B},https://youtu.be/OBLxkQDBu_I,,,,17440.39961837,615.809440799583
833,Birk Skovpark,Friluftsliv,Kommunale skove,{79A203D2-1645-4721-9263-532933996845},https://youtu.be/OBLxkQDBu_I,,,,10430.04734895,661.094368101057
837,Spejderskoven,Friluftsliv,Kommunale skove,{93EBE19F-9226-4B5B-8B1B-F3BAA5D4693C},https://youtu.be/OBLxkQDBu_I,,,,16662.606943745,844.368111542036
